serial	QnrVersion	RespSx2cat	RespAgeE	MarStat6	REconFW01	REconFW02	REconFW03	REconFW04	REconFW05	REconFW06	REconFW07	REconFW08	REconFW09	REconFW10	REconFW11	EMPSTAT	Employ	Superv	EmpOCC	TenureE	SupParty	ClosePty	PARTYFW	Idstrng	RemLea	RemLeaCl	RemLeaSt	Politics	ConLabDf	VoteDuty	SocTrust	EngParl	ScotPar2	ECPolicy2	Spend1	Spend2	SocBen1	SOCBEN2	DOLE	TAXSPEND	WkMent	WkPhys	HProbRsp	PhsRetn	PhsRecov	MntRetn	MntRecov	HCWork21	HCWork22	HCWork23	HCWork24	HCWork25	HCWork26	HCWork28	HCWork29	HCWork213	HCWork214	HCWork215	HCWork27	CMtUnmar1	CMtUnmar2	CMtUnmar3	CMtUnmar4	CMtUnmar5	CMtUnmar6	CMtUnmar7	CMtUnmar8	CMtUnmar9	CMtUnmar10	CMtmar1	CMtmar2	CMtmar3	CMtmar4	CMtmar5	CMtmar6	CMtmar7	CMtmar8	CMtmar9	CMtmar10	ChCoSupp	ChMIncM	ChMIncF	ChMCont	RBGaran2	RBGGov	DigPCUn	DigPCctl	DigPCcon	DigPCrsk	DigGVun	DigGVctl	DigGVcon	DigGVrsk	DigPro	NHSSat	WkHmNow	WkHmJan	CovWkc	CovNoWkc	CovWkr1	CovWkr2	CovWkr3	CovWkr4	CovWkr5	CovWkr6	CovWk1	CovWk2	CovWk3	GovtWork	GovTrust	CLRTRUST	MPsTrust	LoseTch	VoteIntr	PtyNMat2	PolPart01	PolPart02	PolPart03	PolPart04	PolPart05	PolPart06	PolPart07	PolPart08	PolPart09	PolPart10	PolPart11	REFHANG	RefSyst	UnempJob	SocHelp	DoleFidl	WelfFeet	welfhelp	morewelf	damlives	proudwlf	Redistrb	BigBusnN	Wealth	RichLaw	Indust4	TradVals	StifSent	DeathApp	Obey	WrongLaw	Censor	NatIdGB	ChAttend	DisNew2	DisAct	HEdQual2	HhldEdu	EURefV2	EUVOTWHO	EURefb	Voted	Vote	Anybn3	HHincome	Maininc5	REarn	HIncDif4	RetExp	RetExpb	FutrWrk	PenKnow2	PenExp2	PenComp	PenIntr	INFORET3	WkPKnw	WKPSav	WkPSpn	WPSvUs	WPSvWw	WPSvEas	PrPKnw	PrPSav	PrPSpn	PrPSvUs	PrPSvWW	PrPSvEas	NCOutcome	Ragecat	Ragecat20	DisActDV	leftrigh	libauth	welfare2	libauth2	leftrig2	welfgrp	REconAct20	REconSum20	RaceOri4	LegMarStE	HhlAdGpd	HhlChlGpd	BestNatU2	RetirAg3	ReligSum20	RlFamSum20	EmplStatDV	RClassGP	serialh	GOR	gor2	BSA20_wt_new
3261158172	6	1	58	3	0	0	0	1	0	0	0	0	0	0	0	1	1	1	5	2	1	-1	1	1	2	-1	1	1	1	3	1	-1	-1	1	-1	-1	1	2	2	2	2	2	2	2	3	2	2	1	0	1	1	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2	1	1	1	1	2	3	1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	4	4	2	2	1	-1	3	3	1	-1	0	0	0	0	0	1	4	3	4	2	3	4	4	2	2	4	0	0	0	0	0	0	0	0	0	0	1	2	2	1	3	2	1	2	5	4	2	3	2	1	2	2	1	1	1	1	3	2	3	7	1	2	4	2	1	2	2	1	1	2	3	1	2	3	3	67	2	3	172	3	3	6	3	2	5	2	2	1	-1	-1	-1	-1	-1	-1	1	5	5	2	2	4.5	4	3	1	3	4	3	3	4	3	0	2	-1	1	1	6	4	326115817	2	2	2.59526843434757
3261158311	6	2	58	3	0	0	1	0	0	0	0	0	0	1	0	3	-1	-1	98	1	1	-1	2	2	1	-1	1	1	1	3	1	-1	-1	5	-1	-1	2	3	1	3	2	2	4	3	3	3	2	1	1	1	1	1	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	3	3	1	1	1	3	3	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	3	2	3	1	2	-1	9	9	-1	-1	9	9	9	9	9	9	-1	-1	-1	4	3	2	2	3	2	4	0	0	0	0	0	1	0	0	0	1	0	1	1	4	4	4	4	4	2	2	1	1	3	2	3	4	5	4	5	2	3	2	6	-1	2	-1	1	-1	1	1	1	1	2	2	4	9	-1	1	-1	-1	-1	1	153	1	1	5	-1	-1	-1	-1	-1	-1	9	9	-1	-1	-1	-1	1	5	5	3	2.6	2.5	1.875	1	2	1	3	2	3	6	2	0	3	-1	5	2	3	8	326115831	2	2	.519996390266999
3261158312	6	1	57	3	0	0	1	0	0	0	0	0	0	0	0	1	3	1	8	1	2	1	2	2	1	-1	1	1	1	3	1	-1	-1	2	-1	-1	3	5	1	3	1	2	2	3	3	1	3	1	1	1	1	1	1	0	0	0	0	0	0	1	1	2	1	3	1	1	2	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	5	4	-1	3	3	2	2	-1	-1	-1	-1	2	-1	2	3	2	-1	0	0	0	0	0	1	4	4	4	4	3	3	4	3	2	4	1	1	0	0	0	1	1	1	1	1	0	3	3	5	4	4	5	4	2	1	2	1	1	2	1	2	3	5	5	4	4	3	6	4	2	-1	1	-1	1	1	1	1	2	2	4	1	4	1	3	62	1	3	96	2	2	1	3	1	4	1	1	3	-1	-1	-1	-1	-1	-1	1	5	5	3	1.4	2	1.625	1	1	1	3	2	3	6	2	0	3	-1	3	3	6	1	326115831	2	2	.422827838514202
3261158331	6	2	30	3	0	0	0	1	0	0	0	0	0	0	0	1	1	2	4	10	1	-1	2	1	1	-1	1	2	1	2	2	-1	-1	4	-1	-1	2	3	1	2	2	2	4	2	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	1	3	3	1	1	1	2	2	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	2	2	2	2	1	-1	3	3	2	-1	0	1	0	0	0	0	2	3	3	3	2	2	3	2	2	3	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	3	3	3	3	3	3	3	3	4	3	4	3	3	3	3	3	3	4	5	2	-1	1	-1	3	-1	1	3	-1	2	1	1	2	3	4	-1	2	2	100	3	2	1	3	3	3	3	3	3	-1	-1	-1	-1	-1	-1	1	2	2	3	3.4	3	3	2	2	2	4	3	3	6	4	0	1	-1	3	3	7	4	326115833	2	2	3.84434071960508
3261158351	6	2	36	7	0	0	1	0	0	0	0	0	0	0	0	1	3	1	8	2	1	-1	2	2	1	-1	1	1	2	3	1	-1	-1	3	-1	-1	2	4	1	3	1	1	2	2	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	2	2	1	1	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	1	3	-1	3	3	2	2	-1	-1	-1	-1	2	-1	3	3	3	-1	0	0	0	0	0	1	5	5	5	3	3	3	3	2	2	1	0	0	0	0	0	0	0	0	0	1	0	1	2	4	5	4	5	5	1	1	1	1	1	1	1	2	4	5	5	5	4	5	3	-1	1	2	1	-1	1	1	1	1	6	2	4	1	4	1	3	68	2	3	60	2	3	3	3	1	5	1	1	1	-1	-1	-1	-1	-1	-1	1	3	3	2	1.2	1.33333333333333	1.25	1	1	1	3	2	3	6	1	0	1	-1	5	5	6	1	326115835	2	2	1.23855436697608
3261158531	6	2	54	7	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	1	1	-1	2	2	1	-1	2	2	2	2	2	-1	-1	2	-1	-1	3	2	1	3	2	2	2	3	4	3	4	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	-1	1	3	-1	3	2	1	2	-1	-1	-1	-1	2	-1	1	2	-1	1	0	0	0	0	1	0	4	4	2	4	4	4	4	2	2	4	1	0	0	0	1	1	0	1	1	1	0	1	1	5	5	5	5	5	1	5	1	1	1	1	1	2	4	4	5	4	4	5	4	-1	2	-1	1	-1	1	1	1	1	2	2	4	1	4	1	3	65	2	2	20	2	2	1	2	4	4	1	1	1	-1	-1	-1	-1	-1	-1	1	4	4	3	1.2	1.66666666666667	1.5	1	1	1	3	2	3	6	1	0	1	-1	5	1	7	1	326115853	2	2	.585778180867275
3261158541	6	2	40	1	0	0	1	0	0	0	0	0	0	0	0	1	3	2	8	6	1	-1	2	2	3	3	-1	3	2	3	1	-1	-1	2	-1	-1	5	4	2	2	2	1	1	3	4	2	2	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2	1	1	2	1	1	2	1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	1	1	2	1	2	-1	3	3	1	-1	0	0	0	0	0	1	5	4	4	2	3	3	2	3	3	4	1	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	3	3	5	3	3	3	3	3	4	4	3	2	1	1	2	1	6	1	2	-1	2	1	3	-1	1	3	-1	2	4	1	4	3	3	60	2	3	1000	2	2	3	3	3	2	2	3	2	-1	-1	-1	-1	-1	-1	1	3	3	3	3.4	4.33333333333333	3.125	3	2	2	3	2	5	1	2	3	10	-1	4	4	7	1	326115854	2	2	1.29946286804164
3261158542	6	1	30	1	0	0	0	0	0	0	1	0	0	0	0	4	-1	-1	-1	6	2	2	2	3	3	3	-1	4	3	3	1	-1	-1	2	-1	-1	5	3	2	2	2	2	1	2	3	2	3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	1	2	1	1	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	1	1	1	2	2	1	1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	2	2	4	3	4	1	0	0	0	0	0	0	0	0	0	0	2	2	2	4	3	2	3	4	2	3	3	3	3	4	3	4	2	2	1	2	1	6	1	2	-1	1	-1	3	-1	1	3	-1	2	4	1	-1	3	-1	-1	-1	4	1000	2	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	2	3	3.2	4	3.125	3	2	2	7	5	5	1	2	3	10	-1	4	4	-1	6	326115854	2	2	.587798021931924
3261158811	6	1	62	1	0	0	1	0	0	0	0	0	0	0	0	1	1	2	8	1	1	-1	2	3	1	-1	1	2	2	3	1	-1	-1	3	-1	-1	1	4	2	3	2	2	1	1	3	1	2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	3	1	2	1	1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	-1	1	2	-1	2	3	2	2	-1	-1	-1	-1	2	-1	2	3	1	-1	0	0	0	0	1	0	5	4	5	3	4	3	4	3	2	4	1	0	1	1	0	1	0	0	0	1	0	1	1	4	4	4	3	4	2	2	2	3	3	3	3	4	3	3	5	3	2	3	5	-1	2	-1	2	2	1	1	1	1	2	2	2	1	2	3	3	65	2	1	155	5	8	1	1	1	4	1	2	2	-1	-1	-1	-1	-1	-1	1	6	5	3	3.2	2.83333333333333	2.125	2	2	1	3	2	3	1	2	0	3	-1	5	3	7	1	326115881	3	3	.524966352400728
3261158812	6	2	72	1	0	0	0	0	0	0	0	0	1	0	0	3	-1	-1	4	1	1	-1	2	3	1	-1	1	1	2	3	1	-1	-1	5	-1	-1	4	1	1	3	2	2	1	2	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	3	3	1	1	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	-1	1	1	1	1	2	2	1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	4	3	2	4	1	1	0	0	0	1	1	0	0	1	0	1	2	2	4	4	4	2	2	2	1	2	2	2	4	4	2	3	5	2	2	5	3	-1	2	-1	3	1	1	1	1	1	3	1	9	9	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	7	6	3	2.8	2.83333333333333	2.375	2	2	1	9	6	3	1	2	0	1	62	5	2	3	3	326115881	3	3	.633020684925529
